period,route_group,route_id,service_days,scheduled_trips,ran_trips,two_bus_gap_windows,possible_gap_windows,trip_delivery_pct,two_bus_gap_rate_pct
Post-shift,School,638,7,14,12,0.0,5.0,85.71428571428571,0.0
Post-shift,School,639,7,14,13,0.0,5.0,92.85714285714286,0.0
Post-shift,School,641,6,18,17,0.0,10.0,94.44444444444444,0.0
Post-shift,School,642,7,7,7,0.0,0.0,100.0,
Post-shift,School,646,7,48,42,0.0,29.0,87.5,0.0
Post-shift,School,648,7,28,25,0.0,15.0,89.28571428571429,0.0
Post-shift,School,649,7,28,25,0.0,15.0,89.28571428571429,0.0
Post-shift,School,650,7,14,13,0.0,5.0,92.85714285714286,0.0
Post-shift,School,651,7,14,12,0.0,5.0,85.71428571428571,0.0
Post-shift,School,652,7,14,12,0.0,5.0,85.71428571428571,0.0
Post-shift,School,653,7,28,25,0.0,15.0,89.28571428571429,0.0
Post-shift,School,654,7,35,32,0.0,20.0,91.42857142857143,0.0
Post-shift,School,655,7,28,26,0.0,15.0,92.85714285714286,0.0
Post-shift,School,657,7,42,39,0.0,25.0,92.85714285714286,0.0
Post-shift,School,658,7,21,19,0.0,10.0,90.47619047619048,0.0
Post-shift,School,660,7,15,14,0.0,6.0,93.33333333333333,0.0
Post-shift,School,662,7,14,13,0.0,5.0,92.85714285714286,0.0
Post-shift,School,663,6,13,13,0.0,6.0,100.0,0.0
Post-shift,School,667,1,4,4,0.0,3.0,100.0,0.0
Post-shift,School,669,1,3,3,0.0,2.0,100.0,0.0
Post-shift,School,675,1,7,7,0.0,6.0,100.0,0.0
Post-shift,School,677,7,14,13,0.0,5.0,92.85714285714286,0.0
Post-shift,School,678,1,3,3,0.0,2.0,100.0,0.0
Post-shift,School,680,7,14,13,0.0,5.0,92.85714285714286,0.0
Post-shift,School,681,1,2,1,0.0,1.0,50.0,0.0
Post-shift,School,682,7,35,33,0.0,20.0,94.28571428571429,0.0
Post-shift,School,683,7,7,6,0.0,0.0,85.71428571428571,
Post-shift,School,684,1,5,5,0.0,4.0,100.0,0.0
Post-shift,School,687,6,18,18,0.0,10.0,100.0,0.0
Post-shift,School,689,5,8,7,0.0,3.0,87.5,0.0
Post-shift,School,696,7,14,13,0.0,5.0,92.85714285714286,0.0
Post-shift,Transbay,E,7,56,54,0.0,35.0,96.42857142857143,0.0
Post-shift,Transbay,F,9,749,715,1.0,572.0,95.46061415220294,0.17482517482517482
Post-shift,Transbay,FS,7,28,27,0.0,15.0,96.42857142857143,0.0
Post-shift,Transbay,G,7,70,67,0.0,45.0,95.71428571428571,0.0
Post-shift,Transbay,J,7,70,69,0.0,45.0,98.57142857142857,0.0
Post-shift,Transbay,L,7,56,56,0.0,35.0,100.0,0.0
Post-shift,Transbay,NL,9,941,824,16.0,708.0,87.56641870350691,2.2598870056497176
Post-shift,Transbay,NX,7,63,53,1.0,40.0,84.12698412698413,2.5
Post-shift,Transbay,NX3,7,49,45,0.0,30.0,91.83673469387755,0.0
Post-shift,Transbay,O,9,551,472,12.0,406.0,85.66243194192377,2.955665024630542
Post-shift,Transbay,P,7,112,105,1.0,75.0,93.75,1.3333333333333333
Post-shift,Transbay,U,7,77,0,45.0,50.0,0.0,90.0
Post-shift,Transbay,V,7,70,67,0.0,45.0,95.71428571428571,0.0
Post-shift,Transbay,W,7,63,56,1.0,40.0,88.88888888888889,2.5
Summer,All Nighter,800,55,1483,1343,32.0,726.0,90.55967633175995,4.40771349862259
Summer,All Nighter,801,55,605,580,0.0,280.0,95.86776859504133,0.0
Summer,All Nighter,802,55,550,539,0.0,252.0,98.0,0.0
Summer,All Nighter,805,55,659,562,4.0,307.0,85.28072837632777,1.3029315960912051
Summer,All Nighter,840,55,660,615,2.0,308.0,93.18181818181819,0.6493506493506493
Summer,All Nighter,851,55,550,548,0.0,252.0,99.63636363636364,0.0
Summer,Early Bird,701,38,76,71,1.0,20.0,93.42105263157895,5.0
Summer,Early Bird,702,38,38,34,0.0,0.0,89.47368421052632,
Summer,Early Bird,703,38,38,37,0.0,0.0,97.36842105263158,
Summer,Local / other,12,55,5210,4881,22.0,2644.0,93.6852207293666,0.8320726172465961
Summer,Local / other,14,55,5804,5086,70.0,2932.0,87.62922122674019,2.387448840381992
