direction_id,direction,day_type,time_band,status,scheduled_trips,pct
1,Rockridge-bound,Weekday,AM peak,Observed at screenline,482,91.63498098859316
1,Rockridge-bound,Weekday,AM peak,Observed elsewhere only,5,0.9505703422053232
1,Rockridge-bound,Weekday,Early AM,No route observation,9,6.976744186046512
1,Rockridge-bound,Weekday,Early AM,Observed at screenline,119,92.24806201550388
1,Rockridge-bound,Weekday,Early AM,Observed elsewhere only,1,0.7751937984496124
1,Rockridge-bound,Weekday,Evening,No route observation,165,19.855595667870038
1,Rockridge-bound,Weekday,Evening,Observed at screenline,662,79.66305655836342
1,Rockridge-bound,Weekday,Evening,Observed elsewhere only,4,0.4813477737665463
1,Rockridge-bound,Weekday,Late night,No route observation,18,20.689655172413794
1,Rockridge-bound,Weekday,Late night,Observed at screenline,68,78.16091954022988
1,Rockridge-bound,Weekday,Late night,Observed elsewhere only,1,1.1494252873563218
1,Rockridge-bound,Weekday,Midday,No route observation,121,8.923303834808259
1,Rockridge-bound,Weekday,Midday,Observed at screenline,1218,89.82300884955752
1,Rockridge-bound,Weekday,Midday,Observed elsewhere only,17,1.2536873156342183
1,Rockridge-bound,Weekday,PM peak,No route observation,114,12.998859749144811
1,Rockridge-bound,Weekday,PM peak,Observed at screenline,751,85.63283922462942
1,Rockridge-bound,Weekday,PM peak,Observed elsewhere only,12,1.3683010262257698
