direction_id,direction,day_type,time_band,n,service_days,scheduled_headway_min,p25_min,median_min,p75_min,p90_min,p95_min,p99_min,max_min,mean_min,cv,mean_rider_wait_min,bunching_pct,gap_1_5x_pct,gap_2x_pct,intervals_with_missing_slots_pct
0,Fruitvale-bound,Saturday,AM peak,56,7,20.0,19.270610541666667,20.833638725,23.7282053125,34.94568415,40.645832004166664,47.017517539166704,53.98278246666666,23.428572796726193,0.33187216785647516,12.981448468401876,0.0,17.857142857142858,7.142857142857142,7.142857142857142
0,Fruitvale-bound,Saturday,Early AM,7,7,30.0,27.781414658333333,29.065595316666666,29.49288358333333,29.899682979999998,29.914132865,29.925692772999998,29.928582749999997,28.699137392857143,0.037491584976987555,14.366857289799292,0.0,0.0,0.0,0.0
0,Fruitvale-bound,Saturday,Evening,48,7,20.0,17.802100279166666,24.248258741666668,50.397814958333335,71.18588811666669,106.5317797875,140.04329627233335,151.80634721666667,37.990164344444445,0.8442840465421004,32.252989017402896,6.25,41.66666666666667,31.25,39.58333333333333
0,Fruitvale-bound,Saturday,Late night,5,4,30.0,30.618501133333332,31.0629848,55.3083127,75.39122160000001,82.08552456666668,87.44096694000001,88.77982753333335,45.16602721666667,0.610958707317116,29.326672592836022,0.0,40.0,20.0,40.0
0,Fruitvale-bound,Saturday,Midday,142,7,15.0,12.292853979166667,15.499162383333335,20.347625112499998,30.237410928333333,33.36604024416667,47.84573015950001,60.023014800000006,17.759434561384975,0.5142112433863256,11.211097158001172,6.338028169014084,20.422535211267608,11.267605633802818,14.084507042253522
0,Fruitvale-bound,Saturday,PM peak,79,7,15.0,12.202938533333334,15.720889083333333,24.82110075,37.064580786666674,47.48002390833333,48.66383514766667,49.259133266666666,20.088976170464132,0.5739311996112186,13.311231224589248,5.063291139240507,27.848101265822784,18.9873417721519,26.582278481012654
0,Fruitvale-bound,Sunday / holiday,AM peak,70,9,20.0,18.845269187499998,20.881802291666666,24.206477391666667,41.705196560000005,51.72154824083333,60.73628630066668,62.80196096666667,25.031777100952382,0.44585702305214214,14.968360009295191,0.0,20.0,11.428571428571429,14.285714285714285
0,Fruitvale-bound,Sunday / holiday,Early AM,8,8,30.0,27.761061966666666,29.842306833333332,30.678007245833335,33.14746228833334,34.0659076775,34.800663988833335,34.98435306666667,29.935369485416665,0.08963141890066123,15.072901090641519,0.0,0.0,0.0,0.0
0,Fruitvale-bound,Sunday / holiday,Evening,83,9,20.0,17.682788566666666,25.047474583333333,39.174490008333336,60.105662069999994,64.68792466666666,98.91181110566654,112.89459888333334,30.76442358473896,0.668305545097076,22.169631043507795,7.228915662650602,37.34939759036144,22.89156626506024,42.168674698795186
0,Fruitvale-bound,Sunday / holiday,Late night,5,5,30.0,29.023693833333333,30.78925578333333,47.64077365,52.91300675,54.670417783333335,56.07634661,56.42782881666667,38.05929518333333,0.34740765461512585,20.867029768209704,0.0,40.0,0.0,20.0
