day_type,service_days,scheduled_trips,observed_trips,trip_observation_pct,evening_scheduled,evening_observed,evening_screenline_observation_pct,evening_headways,median_evening_headway_min,p90_evening_headway_min,max_evening_headway_min
Saturday,7,917,691,75.35441657579062,196,103,52.55102040816327,104,24.248258741666668,68.76171299166667,151.80634721666667
Sunday / holiday,9,1187,963,81.12889637742207,252,163,64.68253968253968,169,23.089017033333334,57.96855063000002,112.89459888333334
Weekday,44,7607,6682,87.84014723281189,1619,1307,80.72884496602842,1315,17.666666666666668,32.30354720000001,99.73181921666666
