direction_id,direction,segment_id,segment_label,upstream_stop_id,downstream_stop_id,day_type,time_band,n,service_days,distance_m,scheduled_runtime_s,median_s,p25_s,p75_s,p90_s,p95_s,max_s,median_speed_mph,baseline_s,baseline_method,baseline_n,slowdown_pct,schedule_overrun_pct,median_ci_low_s,median_ci_high_s,is_target,target_label
0,Fruitvale-bound,2474-5335,Mosswood Park → Hawthorne,2474,5335,Weekday,Midday,1203,44,306.50999999999976,93.0,69.505119,54.945747499999996,89.424268,110.43697039999999,123.10376109999997,202.466162,9.864643974784066,38.383273,weekday 5–7 a.m. median,325,81.08179310294874,-25.26331290322581,68.684718,72.329814,False,
0,Fruitvale-bound,2474-5335,Mosswood Park → Hawthorne,2474,5335,Weekday,PM peak,731,44,306.50999999999976,99.0,68.311763,53.952340500000005,85.3923585,112.047692,119.76835399999999,233.501704,10.036972012565384,38.383273,weekday 5–7 a.m. median,325,77.97274088637516,-30.998219191919198,65.213984,71.106971,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Saturday,AM peak,54,7,236.84000000000015,32.0,91.4403785,73.76336624999999,105.74435175,116.61892260000002,121.01414884999997,138.794023,5.793940099719161,56.600202499999995,weekday 5–7 a.m. median,300,61.55486104488761,185.7511828125,83.6232035,95.152988,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Saturday,Early AM,14,7,236.84000000000015,27.0,42.543366,36.42397075,48.950713,61.5853763,71.26211765,87.712889,12.492228719544375,56.600202499999995,weekday 5–7 a.m. median,300,-24.835311322428566,57.56802222222221,37.6237755,51.158583,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Saturday,Evening,50,7,236.84000000000015,29.0,75.73877300000001,60.794064500000005,90.54153199999999,117.2152387,125.33203855,149.345417,6.996854933911804,56.600202499999995,weekday 5–7 a.m. median,300,33.813607822339534,161.1681827586207,68.516862,78.172708,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Saturday,Late night,4,4,236.84000000000015,28.0,106.1669695,93.6538465,112.34513975,114.5061149,115.22643995,115.946765,5.001207860357253,56.600202499999995,weekday 5–7 a.m. median,300,87.57347997120681,279.16774821428567,,,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Saturday,Midday,140,7,236.84000000000015,38.0,106.2386105,76.754124,119.2350835,145.9495721,162.20400819999998,248.105783,4.986850313541547,56.600202499999995,weekday 5–7 a.m. median,300,87.70005372330603,179.57529078947366,101.950546,111.582224,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Saturday,PM peak,81,7,236.84000000000015,38.0,101.756848,76.38028,121.207836,135.728446,146.316983,189.28774,5.206489122383196,56.600202499999995,weekday 5–7 a.m. median,300,79.78177374895436,167.78117894736843,87.289996,112.1957725,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Sunday / holiday,AM peak,68,9,236.84000000000015,27.0,78.0763475,63.45037225,94.135109,109.58201460000001,117.48789074999999,163.944311,6.785754564534649,56.600202499999995,weekday 5–7 a.m. median,300,37.943583329052586,189.17165740740737,77.405486,85.9417265,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Sunday / holiday,Early AM,17,9,236.84000000000015,27.0,43.971962,36.743315,56.610082,76.2145148,91.70318559999996,142.074348,12.048494043545302,56.600202499999995,weekday 5–7 a.m. median,300,-22.311299151270703,62.85911851851851,39.789068,52.734618,False,
0,Fruitvale-bound,2476-5338,12th → 9th,2476,5338,Sunday / holiday,Evening,83,9,236.84000000000015,28.0,67.999011,56.674853999999996,79.9026375,100.15486179999999,105.53432149999999,177.685266,7.791229820092536,56.600202499999995,weekday 5–7 a.m. median,300,20.13916557984046,142.8536107142857,62.087496,72.284597,False,
